0,0089,39,,,,2020-11-09 00:00:48.912331,,2020,11,0,0,0,48,283.78,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:00:48.912744,,2020,11,0,0,0,48,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:00:50.209839,,2020,11,0,0,0,50,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:00:51.923807,,2020,11,0,0,0,51,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:01:53.335614,,2020,11,0,0,1,53,283.97,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:01:53.336028,,2020,11,0,0,1,53,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:01:54.620270,,2020,11,0,0,1,54,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:01:56.327981,,2020,11,0,0,1,56,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:02:58.865666,,2020,11,0,0,2,58,283.97,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:02:58.866112,,2020,11,0,0,2,58,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:03:00.156589,,2020,11,0,0,3,0,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:03:01.870026,,2020,11,0,0,3,1,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:04:03.381101,,2020,11,0,0,4,3,283.97,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:04:03.381514,,2020,11,0,0,4,3,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:04:04.668790,,2020,11,0,0,4,4,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:04:06.381557,,2020,11,0,0,4,6,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:05:09.380081,,2020,11,0,0,5,9,283.97,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:05:09.380499,,2020,11,0,0,5,9,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:05:10.669790,,2020,11,0,0,5,10,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:05:12.370765,,2020,11,0,0,5,12,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:06:13.918055,,2020,11,0,0,6,13,283.97,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:06:13.918469,,2020,11,0,0,6,13,283.97,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:06:15.214755,,2020,11,0,0,6,15,283.97,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:06:16.926294,,2020,11,0,0,6,16,283.97,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:07:18.700453,,2020,11,0,0,7,18,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:07:18.700869,,2020,11,0,0,7,18,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:07:19.995098,,2020,11,0,0,7,19,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:07:21.716533,,2020,11,0,0,7,21,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:08:23.146767,,2020,11,0,0,8,23,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:08:23.147177,,2020,11,0,0,8,23,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:08:24.437097,,2020,11,0,0,8,24,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:08:26.146212,,2020,11,0,0,8,26,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:09:27.381791,,2020,11,0,0,9,27,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:09:27.382232,,2020,11,0,0,9,27,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:09:28.673316,,2020,11,0,0,9,28,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:09:30.391953,,2020,11,0,0,9,30,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:10:35.251377,,2020,11,0,0,10,35,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:10:35.252071,,2020,11,0,0,10,35,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:10:36.549277,,2020,11,0,0,10,36,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:10:38.262344,,2020,11,0,0,10,38,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:11:38.949424,,2020,11,0,0,11,38,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:11:38.950144,,2020,11,0,0,11,38,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:11:40.239115,,2020,11,0,0,11,40,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:11:41.953636,,2020,11,0,0,11,41,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:12:46.407725,,2020,11,0,0,12,46,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:12:46.408415,,2020,11,0,0,12,46,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:12:47.697968,,2020,11,0,0,12,47,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:12:49.421160,,2020,11,0,0,12,49,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:13:50.127444,,2020,11,0,0,13,50,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:13:50.128134,,2020,11,0,0,13,50,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:13:51.423195,,2020,11,0,0,13,51,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:13:53.139156,,2020,11,0,0,13,53,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:14:53.975572,,2020,11,0,0,14,53,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:14:53.976262,,2020,11,0,0,14,53,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:14:55.261441,,2020,11,0,0,14,55,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:14:56.976818,,2020,11,0,0,14,56,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:15:59.178388,,2020,11,0,0,15,59,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:15:59.179077,,2020,11,0,0,15,59,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:16:00.480440,,2020,11,0,0,16,0,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:16:02.192998,,2020,11,0,0,16,2,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:17:04.965181,,2020,11,0,0,17,4,283.96,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:17:04.965790,,2020,11,0,0,17,4,283.96,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:17:06.254141,,2020,11,0,0,17,6,283.96,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:17:07.964706,,2020,11,0,0,17,7,283.96,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:18:11.429644,,2020,11,0,0,18,11,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:18:11.430358,,2020,11,0,0,18,11,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:18:12.727358,,2020,11,0,0,18,12,284.07,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:18:14.444444,,2020,11,0,0,18,14,284.07,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:19:18.232004,,2020,11,0,0,19,18,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:19:18.232607,,2020,11,0,0,19,18,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:19:19.522480,,2020,11,0,0,19,19,284.07,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:19:21.234821,,2020,11,0,0,19,21,284.07,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:20:22.289485,,2020,11,0,0,20,22,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:20:22.290209,,2020,11,0,0,20,22,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:20:23.588929,,2020,11,0,0,20,23,284.07,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:20:25.299204,,2020,11,0,0,20,25,284.07,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:21:26.421795,,2020,11,0,0,21,26,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:21:26.422517,,2020,11,0,0,21,26,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:21:26.423176,,2020,11,0,0,21,26,284.07,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:21:28.148958,,2020,11,0,0,21,28,284.07,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:22:30.597752,,2020,11,0,0,22,30,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:22:30.598470,,2020,11,0,0,22,30,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:22:30.599131,,2020,11,0,0,22,30,284.07,87,10000,2.1,0
0,6608G,82,,,,2020-11-09 00:22:32.329292,,2020,11,0,0,22,32,284.07,87,10000,2.1,0
0,0089,39,,,,2020-11-09 00:23:35.247104,,2020,11,0,0,23,35,284.07,87,10000,2.1,0
0,0089,44,,,,2020-11-09 00:23:35.247638,,2020,11,0,0,23,35,284.07,87,10000,2.1,0
0,6608G,51,,,,2020-11-09 00:23:35.248141,,2020,11,0,0,23,35,284.07,87,10000,2.1,0
